A Party (Caller),B Party (Receiver),Call Type,Data Service,Call Date,Call Time,End Date,End Time,Duration (Seconds),IMEI,IMSI
8545308240,7569729136,Voice,,2024-12-05,00:01:09,2024-12-05,00:50:19,2950,758147441927304,419306042653587
8545308240,7799044822,Voice,,2024-12-08,10:42:30,2024-12-08,10:56:41,851,930809449137811,943309378522258
8545308240,7183665721,Voice,,2024-06-13,01:18:50,2024-06-13,02:16:43,3473,678916620048786,610881971582178
8545308240,8010354000,Data,Facebook Messenger,2024-07-18,09:04:37,2024-07-18,09:08:45,248,529497059979111,838402380895528
8545308240,9572354423,Voice,,2024-10-20,10:41:12,2024-10-20,10:46:25,313,157481988753331,332841896761224
8545308240,7844839599,Voice,,2024-06-22,08:46:45,2024-06-22,08:52:35,350,897987678557272,381188057121646
8545308240,9808161171,SMS,,2024-08-12,21:07:23,2024-08-12,21:07:23,0,963442683964105,485233243609180
8545308240,9277072508,Data,Skype,2024-05-18,22:29:51,2024-05-18,23:07:21,2250,156481760979110,670687764268635
8545308240,9858960093,Voice,,2024-12-01,08:22:24,2024-12-01,09:16:52,3268,767265086092750,771559299108712
8545308240,8496340318,Voice,,2024-02-02,18:41:09,2024-02-02,19:13:02,1913,716118591360683,316037773295147
7764836022,7469591541,SMS,,2024-09-17,06:03:16,2024-09-17,06:03:16,0,716377804510905,502091031069423
7764836022,9448807012,SMS,,2024-03-20,06:49:45,2024-03-20,06:49:45,0,000720510238964,642820548191206
7764836022,8691976410,SMS,,2024-08-30,10:58:31,2024-08-30,10:58:31,0,400418541769139,176958290802059
7764836022,8158472678,Data,Facebook Messenger,2024-04-03,05:42:40,2024-04-03,06:11:39,1739,355655616816691,419131936804876
7764836022,9674582414,Voice,,2024-12-02,07:29:41,2024-12-02,07:35:57,376,923967635370660,154248118700783
7764836022,9522890503,Voice,,2024-02-28,10:38:43,2024-02-28,10:40:01,78,416607656147040,504548588237125
7764836022,7980369051,SMS,,2024-12-29,21:20:40,2024-12-29,21:20:40,0,982896189280836,256979629283439
7764836022,7993852313,Voice,,2024-06-15,10:25:57,2024-06-15,11:01:13,2116,558136476483917,769158549403939
7764836022,9156630082,Data,Google Meet,2024-03-26,11:40:34,2024-03-26,11:59:19,1125,960023650836083,857320364746889
7764836022,9320161118,Data,Google Meet,2024-02-02,09:58:13,2024-02-02,10:24:30,1577,580523194676857,212649737171365
9861157091,7010953621,Voice,,2024-02-07,19:12:43,2024-02-07,20:06:32,3229,993566239930914,929446188692925
9861157091,7561549716,SMS,,2024-07-02,02:03:39,2024-07-02,02:03:39,0,040254775083836,334128146898620
9861157091,7723938416,Data,Skype,2024-03-25,11:15:20,2024-03-25,11:49:24,2044,489101951928194,930320073808357
9861157091,9713679489,Voice,,2024-05-09,02:55:27,2024-05-09,03:24:59,1772,723320556687426,615782983188681
9861157091,9671847015,Voice,,2024-07-25,03:12:57,2024-07-25,03:17:44,287,276238781542298,386706029658600
9861157091,7203208016,Data,Skype,2024-08-19,10:49:01,2024-08-19,10:49:54,53,616970448212788,565881387101157
9861157091,9766488543,Data,Zoom Meet,2024-06-20,17:36:46,2024-06-20,18:07:49,1863,426412031669182,448094172178531
9861157091,9070877769,Data,Telegram,2024-01-27,13:10:17,2024-01-27,13:40:22,1805,475691258688276,474298504729862
9861157091,8840713623,Voice,,2024-09-22,15:09:31,2024-09-22,15:26:14,1003,093017120034099,407709669173822
9861157091,8468528409,SMS,,2024-01-10,03:45:32,2024-01-10,03:45:32,0,215846949961222,581084692403317
9861157091,8048121760,Data,Telegram,2024-11-12,08:36:33,2024-11-12,09:13:14,2201,783497025255980,689600568682572
7029643392,8136259161,SMS,,2024-09-14,15:56:31,2024-09-14,15:56:31,0,240982811109539,024490128632210
7029643392,9494906241,Voice,,2024-01-06,22:16:24,2024-01-06,23:00:50,2666,982099593816868,107692193029440
7029643392,9509887943,Voice,,2024-12-21,16:44:25,2024-12-21,17:24:16,2391,361690507912897,311155434512887
7029643392,8633109675,SMS,,2024-04-17,05:42:45,2024-04-17,05:42:45,0,595637688453406,272800264900772
7029643392,8391181942,Voice,,2024-03-07,14:11:40,2024-03-07,14:17:17,337,326875385088442,652308602152476
7029643392,7214741530,Voice,,2024-04-03,08:51:48,2024-04-03,09:34:21,2553,114164679652137,424792879164650
7029643392,8440751291,Voice,,2024-11-05,07:55:29,2024-11-05,08:31:58,2189,912039970006754,053886320620713
7029643392,8006971924,SMS,,2024-11-29,03:29:43,2024-11-29,03:29:43,0,978240215220654,573918312948789
7029643392,7833362094,Voice,,2024-04-23,02:30:47,2024-04-23,03:14:51,2644,993802651581214,896306712866972
7029643392,8269322291,Voice,,2024-12-30,17:58:06,2024-12-30,18:49:43,3097,961631543900299,259258283835142
7029643392,9885462277,SMS,,2024-10-25,05:27:12,2024-10-25,05:27:12,0,080241643528627,166119114059808
8489996952,7952569612,SMS,,2024-07-21,13:03:13,2024-07-21,13:03:13,0,617648060801039,751478845026284
8489996952,8355734618,Voice,,2024-10-23,05:34:55,2024-10-23,05:41:59,424,987331402014814,394160296452750
8489996952,8483574610,Data,WhatsApp,2024-09-16,02:47:15,2024-09-16,03:23:18,2163,261585498771457,697298727874992
8489996952,7161055422,Data,Instagram,2024-09-20,11:38:11,2024-09-20,12:07:21,1750,412071015249028,145720992478182
8489996952,7676565676,Voice,,2024-08-06,22:52:57,2024-08-06,23:15:54,1377,613618400428854,105113981173108
8489996952,7347827606,Data,Google Meet,2024-09-03,01:56:04,2024-09-03,02:52:14,3370,532453538886604,732752937985353
8489996952,7792720948,Data,Skype,2024-07-14,17:38:59,2024-07-14,17:42:20,201,034584504504211,705260416471889
8489996952,9939163361,Data,Skype,2024-06-20,21:19:14,2024-06-20,21:23:17,243,451851625534151,933135052612319
8489996952,9853978962,Data,Skype,2024-05-27,14:13:04,2024-05-27,14:17:52,288,095650421080879,622123598479479
8489996952,7925733788,Voice,,2024-01-23,22:02:09,2024-01-23,22:24:00,1311,247842958113461,818929321207120
8516457378,8550642539,Data,Telegram,2024-01-26,16:39:31,2024-01-26,16:54:17,886,321971105690775,402040324913649
8516457378,8348851383,Data,Zoom Meet,2024-11-12,10:44:34,2024-11-12,11:32:38,2884,733730533345049,881730871227621
8516457378,8974903622,Data,Telegram,2024-09-23,04:27:15,2024-09-23,05:23:08,3353,695726410845425,899437201909590
8516457378,9550348752,Voice,,2024-09-27,16:43:17,2024-09-27,17:37:06,3229,269373326515553,258019504312662
8516457378,7774768025,SMS,,2024-11-30,16:21:50,2024-11-30,16:21:50,0,105367259572644,294106690097173
8516457378,7324390490,SMS,,2024-12-04,00:47:28,2024-12-04,00:47:28,0,247200169518696,227854410965283
8516457378,7438287258,Voice,,2024-12-31,06:16:20,2024-12-31,06:20:52,272,572044341354928,469569634426788
8516457378,7946902095,Voice,,2024-10-25,03:24:35,2024-10-25,03:59:25,2090,913932376369929,564983565882222
8516457378,7873594659,Data,Instagram,2024-05-18,10:11:33,2024-05-18,10:40:56,1763,505725108949160,418396716315751
